ÄÚµå | ¹«±âÀÌ¸§ | ½½·Ô( 1 = ÁÖ¹«±â, 2 = º¸Á¶¹«±â, 3 = Ä® ....)

0 | Knife | 3
1 | D.Eagle | 2
2 | C.Anaconda | 2
3 | Aks-74U | 1
4 | M4A1 Carbine | 1
5 | MP5 | 1
6 | Dragunov | 1
7 | MSG90 | 1
8 | G400 | 4
9 | AK-47 | 1
10 | B.92Fs | 2
11 | M16 | 1
12 | SG-870_v2 | 1
13 | ASG-12_v2 | 1
14 | FAMAS F1 | 1
15 | G36K | 1
16 | P90 | 1
17 | Scout SR_69 | 1
18 | SMG U101 | 1
19 | C.USP | 2
20 | F401 | 4
21 | C4 | 5
22 | TRG-21 | 1
23 | MG43_v2 | 1
24 | SCAR | 1
25 | K2 | 1
26 | S402 | 4
27 | B.93R | 2
28 | Gurkha Knife | 3
29 | K1 | 1
30 | Å»Ãë¹° | 5
31 | Å»Ãë¹° | 5
32 | GAL-1 | 1
33 | F401 | 4
34 | S402 | 4
35 | UAR | 1
36 | SOCOM-K | 1
37 | GAL-1 | 1
38 | M4A1 Camo | 1
39 | Bomb Techkit | 5
40 | AK-47 Black | 1
41 | SCAR Sandstorm | 1
42 | M4A1 Devgru | 1
43 | FAMAS F3 | 1
44 | TRG21 Camo | 1
45 | D.Eagle Black | 2
46 | B.92Fs Black | 2
47 | Gurkha Chrome | 3
48 | AXE Knife | 3
49 | Tiger Stripe | 3
50 | M4A1 Camo | 1
51 | Russian Machete | 3
52 | DoubleBarrel | 2
53 | AK-47 | 1
54 | M4A1 Carbine | 1
55 | FAMAS F1 | 1
56 | TRG-21 | 1
57 | GAL-1 | 1
58 | Aks-74U | 1
59 | M16 | 1
60 | SG-870_v2 | 1
61 | ASG-12_v2 | 1
62 | Dragunov | 1
63 | G36K | 1
64 | P90 | 1
65 | Scout SR_69 | 1
66 | SMG U101 | 1
67 | MSG90 | 1
68 | MG43_v2 | 1
69 | SCAR | 1
70 | K2 | 1
71 | K1 | 1
72 | MP5 | 1
73 | UAR | 1
74 | SOCOM-K | 1
75 | D.Eagle | 2
76 | C.Anaconda | 2
77 | B.92Fs | 2
78 | C.USP | 2
79 | B.93R | 2
80 | DoubleBarrel | 2
81 | Knife | 3
82 | Gurkha Knife | 3
83 | AXE Knife | 3
84 | Tiger Stripe | 3
85 | Russian Machete | 3
86 | G400 | 4
87 | F401 | 4
88 | S402 | 4
89 | Bomb Techkit | 5
90 | TAVOR | 1
91 | TAVOR | 1
92 | AK-47 Black | 1
93 | M4A1 Camo | 1
94 | SCAR Sandstorm | 1
95 | TRG21 Camo | 1
96 | M4A1 Devgru | 1
97 | FAMAS F3 | 1
98 | D.Eagle Black | 2
99 | SIG556 | 1
100 | SIG556 | 1
101 | TRG-21 | 1
102 | M4A1 Carbine | 1
103 | D.Eagle | 2
104 | AK-47 | 1
105 | SOCOM-K | 1
106 | FAMAS F3 | 1
107 | M4A1 Devgru | 1
108 | M4A1 Camo | 1
109 | AK-47 Black | 1
110 | TRG21 Camo | 1
111 | SCAR Sandstorm | 1
112 | SCAR | 1
113 | SOCOM-K | 1
114 | Bomb Techkit | 5
115 | B.92Fs Black | 2
116 | SIG556 | 1
117 | B.93R | 2
118 | Gurkha Chrome | 3
119 | SamuraiEdge | 2
120 | D.Eagle Black | 2
